,,,,,,
,ZIP Code,City,County,Land Area (Sq. Meters),Land Area (Sq. Miles),Land Area (Sq. Kilometers)
,98844,Oroville,Okanogan County,"856,255,000",331,856
,98846,Pateros,Okanogan County,"230,695,000",89,231
,98848,"George, Quincy","Douglas County, Grant County","1,165,970,000",450,"1,166"
,98849,"Omak, Riverside",Okanogan County,"397,586,000",154,398
,98850,Rock Island,Douglas County,"58,790,300",23,59
,98851,"Lakeview, Soap Lake",Grant County,"411,451,000",159,411
,98855,Tonasket,Okanogan County,"1,662,920,000",642,"1,663"
,98856,Twisp,Okanogan County,"1,174,330,000",453,"1,174"
,98857,Warden,"Adams County, Grant County","421,951,000",163,422
,98858,Waterville,Douglas County,"1,002,060,000",387,"1,002"
,98860,Wilson Creek,Grant County,"199,037,000",77,199
,98862,"Twisp, Winthrop","Okanogan County, Whatcom County","1,160,180,000",448,"1,160"
,98901,"Moxee, Terrace Heights, Union Gap, Yakima","Kittitas County, Yakima County","302,111,000",117,302
,98902,Yakima,Yakima County,"23,373,800",9,23
,98903,"Ahtanum, Tampico, Union Gap, Yakima",Yakima County,"749,041,000",289,749
,98908,"Ahtanum, Eschbach, Gleed, Summitview, Yakima",Yakima County,"255,917,000",99,256
,98921,Buena,Yakima County,"326,160",0,0
,98922,"Cle Elum, Easton, Roslyn, South Cle Elum",Kittitas County,"1,158,190,000",447,"1,158"
,98923,Cowiche,Yakima County,"15,623,500",6,16
,98925,"Easton, Roslyn",Kittitas County,"325,190,000",126,325
,98926,"Ellensburg, Kittitas",Kittitas County,"1,494,510,000",577,"1,495"
,98930,Grandview,"Benton County, Yakima County","123,083,000",48,123
,98932,Granger,Yakima County,"87,507,400",34,88
,98933,Harrah,Yakima County,"62,558,500",24,63
,98934,Kittitas,Kittitas County,"2,210,180",1,2
,98935,"Grandview, Mabton",Yakima County,"693,408,000",268,693
,98936,Moxee,Yakima County,"366,600,000",142,367
,98937,"Cliffdell, Eschbach, Gleed, Naches, Nile","Kittitas County, Yakima County","2,032,980,000",785,"2,033"
,98938,Outlook,Yakima County,"95,672,900",37,96
,98939,Parker,Yakima County,"738,747",0,1
,98940,Ronald,Kittitas County,"277,790,000",107,278
,98941,Roslyn,Kittitas County,"12,531,600",5,13
,98942,"Selah, Yakima",Yakima County,"487,909,000",188,488
,98943,"Cle Elum, South Cle Elum",Kittitas County,"2,223,600",1,2
,98944,"Richland, Sunnyside","Benton County, Yakima County","1,497,260,000",578,"1,497"
,98946,Thorp,Kittitas County,"47,267,200",18,47
,98947,"Cowiche, Tieton",Yakima County,"106,838,000",41,107
,98948,Toppenish,Yakima County,"565,156,000",218,565
,98950,Vantage,Kittitas County,"60,332,600",23,60
,98951,"Donald, Parker, Wapato",Yakima County,"389,536,000",150,390
,98952,White Swan,Yakima County,"533,302,000",206,533
,98953,"Buena, Zillah",Yakima County,"163,160,000",63,163
,99001,Airway Heights,Spokane County,"18,402,000",7,18
,99004,"Cheney, Four Lakes","Spokane County, Whitman County","870,251,000",336,870
,99005,Green Bluff,Spokane County,"102,758,000",40,103
,99006,Deer Park,"Pend Oreille County, Spokane County, Stevens County","475,628,000",184,476
,99011,Fairchild AFB,Spokane County,"16,913,900",7,17
,99012,"Fairfield, Latah, Waverly",Spokane County,"246,192,000",95,246
,99016,"Liberty Lake, Spokane Valley",Spokane County,"65,287,900",25,65
,99017,Lamont,Whitman County,"219,409,000",85,219
,99018,Latah,Spokane County,"90,604,200",35,91
,99019,Liberty Lake,Spokane County,"56,625,200",22,57
,99021,"Green Bluff, Mead",Spokane County,"217,949,000",84,218
,99022,"Airway Heights, Medical Lake",Spokane County,"178,671,000",69,179
,99025,Otis Orchards-East Farms,Spokane County,"115,273,000",45,115
,99026,Spokane,"Spokane County, Stevens County","183,609,000",71,184
,99027,"Otis Orchards-East Farms, Spokane Valley",Spokane County,"39,071,900",15,39
,99029,Reardan,"Lincoln County, Spokane County","306,871,000",118,307
,99030,Rockford,Spokane County,"203,037,000",78,203
,99031,Spangle,Spokane County,"183,816,000",71,184
,99032,Sprague,"Adams County, Lincoln County","562,986,000",217,563
,99033,Tekoa,"Spokane County, Whitman County","97,428,600",38,97
,99037,Spokane Valley,Spokane County,"16,750,900",6,17
,99039,Waverly,Spokane County,"11,614,500",4,12
,99101,Addy,Stevens County,"283,615,000",110,284
,99102,Albion,Whitman County,"597,769",0,1
,99103,Almira,"Grant County, Lincoln County","590,375,000",228,590
,99109,Chewelah,Stevens County,"725,587,000",280,726
,99110,Clayton,"Spokane County, Stevens County","97,353,500",38,97
,99111,"Colfax, Steptoe",Whitman County,"747,252,000",289,747
,99113,Colton,Whitman County,"248,084,000",96,248
,99114,Colville,Stevens County,"1,886,880,000",729,"1,887"
,99115,"Banks Lake South, Coulee City","Douglas County, Grant County","1,084,260,000",419,"1,084"
,99116,"Coulee Dam, Elmer City","Douglas County, Grant County, Okanogan County","121,663,000",47,122
,99117,Creston,Lincoln County,"477,692,000",184,478
,99118,Curlew,Ferry County,"510,135,000",197,510
,99119,Cusick,Pend Oreille County,"1,049,240,000",405,"1,049"
,99121,Danville,Ferry County,"146,779,000",57,147
,99122,Davenport,"Lincoln County, Stevens County","1,474,630,000",569,"1,475"
,99123,"Electric City, Grand Coulee",Grant County,"112,734,000",44,113
,99124,Elmer City,Okanogan County,"559,382",0,1
,99125,Endicott,Whitman County,"603,506,000",233,604
,99126,Marcus,Stevens County,"134,526,000",52,135
,99128,Farmington,"Latah County, Whitman County","160,597,000",62,161
,99130,Garfield,Whitman County,"203,048,000",78,203
,99133,"Electric City, Grand Coulee","Douglas County, Grant County, Lincoln County","383,155,000",148,383
,99134,Harrington,Lincoln County,"555,495,000",214,555
,99135,Hartline,Grant County,"456,733,000",176,457
,99138,"Inchelium, Twin Lakes",Ferry County,"1,367,440,000",528,"1,367"
,99139,Ione,Pend Oreille County,"530,363,000",205,530
,99140,Keller,Ferry County,"1,007,710,000",389,"1,008"
,99141,"Barney's Junction, Barstow, Boyds, Kettle Falls","Ferry County, Stevens County","1,372,220,000",530,"1,372"
,99143,LaCrosse,Whitman County,"803,350,000",310,803
,99146,Laurier,Ferry County,"120,445,000",47,120
,99148,"Loon Lake, Springdale",Stevens County,"149,959,000",58,150
,99149,Malden,Whitman County,"6,744,860",3,7
,99150,Malo,Ferry County,"144,440,000",56,144
,99151,Marcus,Stevens County,"314,770",0,0
,99152,Metaline,Pend Oreille County,"12,086,200",5,12
,99153,Metaline Falls,Pend Oreille County,"888,786,000",343,889
,99155,"Nespelem Community, Nespelem","Ferry County, Okanogan County","788,658,000",305,789
,99156,Newport,"Pend Oreille County, Spokane County","847,496,000",327,847
,99157,Northport,Stevens County,"189,934,000",73,190
,99158,Oakesdale,Whitman County,"235,436,000",91,235
,99159,Odessa,"Adams County, Lincoln County","1,300,030,000",502,"1,300"
,99160,Orient,Ferry County,"233,032,000",90,233
,99161,Palouse,Whitman County,"192,340,000",74,192
,99163,"Albion, Pullman",Whitman County,"536,124,000",207,536
,99164,Pullman,Whitman County,"187,184",0,0
,99166,"Curlew Lake, Pine Grove, Republic, Torboy","Ferry County, Okanogan County","1,520,160,000",587,"1,520"
,99169,Ritzville,"Adams County, Lincoln County","1,838,580,000",710,"1,839"
,99170,"Malden, Rosalia","Spokane County, Whitman County","471,272,000",182,471
,99171,St. John,Whitman County,"688,311,000",266,688
,99173,Springdale,Stevens County,"338,482,000",131,338
,99174,Steptoe,Whitman County,"348,107",0,0
,99179,Union,Whitman County,"183,608,000",71,184
,99181,Valley,Stevens County,"255,431,000",99,255
,99185,Wilbur,Lincoln County,"698,460,000",270,698
,99201,Spokane,Spokane County,"7,773,520",3,8
,99202,"Spokane, Spokane Valley",Spokane County,"15,905,900",6,16
,99203,Spokane,Spokane County,"12,113,200",5,12
,99204,Spokane,Spokane County,"2,919,950",1,3
,99205,"Spokane, Town and Country",Spokane County,"23,202,100",9,23
,99206,"Millwood, Spokane Valley",Spokane County,"60,620,800",23,61
,99207,Spokane,Spokane County,"14,110,100",5,14
,99208,"Country Homes, Fairwood, Mead, Spokane, Town and Country",Spokane County,"127,316,000",49,127
,99212,"Millwood, Spokane, Spokane Valley",Spokane County,"31,445,000",12,31
,99216,Spokane Valley,Spokane County,"34,584,400",13,35
,99217,"Mead, Spokane",Spokane County,"132,146,000",51,132
,99218,"Country Homes, Fairwood, Spokane, Town and Country",Spokane County,"18,938,900",7,19
,99223,Spokane,Spokane County,"74,149,000",29,74
,99224,"Airway Heights, Spokane",Spokane County,"303,209,000",117,303
,99301,"Pasco, West Pasco",Franklin County,"1,204,290,000",465,"1,204"
,99320,"Benton City, West Richland",Benton County,"359,642,000",139,360
,99322,Bickleton,Klickitat County,"639,332,000",247,639
,99323,Burbank,Walla Walla County,"326,084,000",126,326
,99324,"College Place, Garrett, Walla Walla",Walla Walla County,"7,898,070",3,8
,99326,"Connell, Mesa","Adams County, Franklin County","706,864,000",273,707
,99328,Dayton,Columbia County,"1,659,500,000",641,"1,660"
,99329,Dixie,Walla Walla County,"4,738,260",2,5
,99335,Kahlotus,Franklin County,"438,424,000",169,438
,99336,"Kennewick, Richland",Benton County,"34,570,300",13,35
,99337,"Finley, Kennewick",Benton County,"407,217,000",157,407
,99338,"Kennewick, Richland",Benton County,"171,927,000",66,172
,99341,Lind,Adams County,"1,036,900,000",400,"1,037"
,99343,"Basin City, Mesa",Franklin County,"428,395,000",165,428
,99344,"Hatton, Othello","Adams County, Franklin County, Grant County","1,174,590,000",454,"1,175"
,99347,Pomeroy,"Columbia County, Garfield County, Whitman County","1,960,340,000",757,"1,960"
,99348,Prescott,"Columbia County, Walla Walla County","1,345,760,000",520,"1,346"
,99349,"Desert Aire, Mattawa",Grant County,"695,197,000",268,695
,99350,Prosser,"Benton County, Klickitat County, Yakima County","1,480,080,000",571,"1,480"
,99352,"Kennewick, Richland, West Richland",Benton County,"54,262,100",21,54
,99353,"Richland, West Richland",Benton County,"67,479,400",26,67
,99354,Richland,Benton County,"52,600,900",20,53
,99356,Roosevelt,Klickitat County,"649,184,000",251,649
,99357,Royal City,Grant County,"601,541,000",232,602
,99359,Starbuck,"Columbia County, Franklin County","215,544,000",83,216
,99360,Touchet,Walla Walla County,"407,715,000",157,408
,99361,"Dixie, Waitsburg","Columbia County, Walla Walla County","579,326,000",224,579
,99362,"College Place, Garrett, Walla Walla, Walla Walla East","Umatilla County, Walla Walla County","740,792,000",286,741
,99363,Wallula,Walla Walla County,"115,344,000",45,115
,99371,Washtucna,"Adams County, Franklin County","527,778,000",204,528
,99402,Asotin,Asotin County,"741,921,000",286,742
,99403,"Asotin, Clarkston, Clarkston Heights-Vineland, West Clarkston-Highland","Asotin County, Garfield County","395,975,000",153,396
