,,,,,,
,ZIP Code,City,County,Land Area (Sq. Meters),Land Area (Sq. Miles),Land Area (Sq. Kilometers)
,98158,SeaTac,King County,"5,726,910",2,6
,98164,Seattle,King County,"9,165",0,0
,98166,"Burien, Normandy Park",King County,"14,685,900",6,15
,98168,"Boulevard Park, Burien, Riverton, SeaTac, Tukwila, White Center",King County,"23,030,100",9,23
,98174,Seattle,King County,"9,145",0,0
,98177,"Seattle, Shoreline",King County,"14,752,900",6,15
,98178,"Bryn Mawr-Skyway, Renton, Seattle, Tukwila",King County,"12,564,300",5,13
,98188,"Kent, Renton, SeaTac, Tukwila",King County,"19,551,300",8,20
,98195,Seattle,King County,"183,452",0,0
,98198,"Des Moines, Kent, Normandy Park, SeaTac",King County,"20,167,200",8,20
,98199,Seattle,King County,"10,815,400",4,11
,98201,"Everett, Hat Island",Snohomish County,"19,365,400",7,19
,98203,Everett,Snohomish County,"27,723,300",11,28
,98204,"Everett, Lake Stickney, Mukilteo",Snohomish County,"20,779,300",8,21
,98205,"Bunk Foss, Cavalero, Everett, Lake Stevens, Machias, Marysville",Snohomish County,"49,040,500",19,49
,98207,Everett,Snohomish County,"575,949",0,1
,98208,"Eastmont, Everett, Martha Lake, Mill Creek, Silver Firs",Snohomish County,"41,918,900",16,42
,98220,Acme,Whatcom County,"52,834,900",20,53
,98221,Anacortes,"San Juan County, Skagit County","137,491,000",53,137
,98223,"Arlington, Arlington Heights, Bryant, Canyon Creek, Lake Cassidy, Marysville, North Marysville, Oso, Sisco Heights, Swede Heaven",Snohomish County,"827,808,000",320,828
,98224,Baring,King County,"510,454,000",197,510
,98225,"Bellingham, Marietta-Alderwood",Whatcom County,"32,513,400",13,33
,98226,"Bellingham, Ferndale, Marietta-Alderwood",Whatcom County,"277,732,000",107,278
,98229,"Alger, Bellingham, Geneva, Sudden Valley","Skagit County, Whatcom County","127,275,000",49,127
,98230,"Birch Bay, Blaine",Whatcom County,"113,340,000",44,113
,98232,"Alger, Edison",Skagit County,"138,642,000",54,139
,98233,"Alger, Burlington",Skagit County,"87,664,400",34,88
,98235,Clear Lake,Skagit County,"79,407",0,0
,98236,Clinton,Island County,"59,279,800",23,59
,98237,Concrete,"Skagit County, Whatcom County","827,708,000",320,828
,98238,Conway,Skagit County,"563,363",0,1
,98239,Coupeville,Island County,"75,803,700",29,76
,98240,Custer,Whatcom County,"53,583,300",21,54
,98241,"Darrington, Swede Heaven","Skagit County, Snohomish County","1,060,180,000",409,"1,060"
,98244,"Maple Falls, Peaceful Valley, Deming, Glacier, Kendall",Whatcom County,"1,264,000,000",488,"1,264"
,98247,"Deming, Everson, Lynden, Nooksack",Whatcom County,"164,987,000",64,165
,98248,"Birch Bay, Custer, Ferndale, Marietta-Alderwood",Whatcom County,"183,463,000",71,183
,98249,Freeland,Island County,"41,291,200",16,41
,98250,Friday Harbor,San Juan County,"160,966,000",62,161
,98251,"Gold Bar, May Creek, Startup",Snohomish County,"394,887,000",152,395
,98252,"Canyon Creek, Granite Falls, Lake Bosworth, Lochsloy, Verlot",Snohomish County,"692,258,000",267,692
,98255,Hamilton,Skagit County,"1,349,290",1,1
,98256,Index,Snohomish County,"218,855,000",84,219
,98257,La Conner,Skagit County,"47,486,900",18,47
,98258,"Cavalero, Lake Cassidy, Lake Stevens, Lochsloy, Machias, Sisco Heights",Snohomish County,"74,699,800",29,75
,98260,Langley,Island County,"68,456,500",26,68
,98263,Lyman,Skagit County,"421,041",0,0
,98264,Lynden,Whatcom County,"147,753,000",57,148
,98266,"Kendall, Maple Falls, Peaceful Valley",Whatcom County,"62,038,200",24,62
,98267,Marblemount,Skagit County,"900,047,000",348,900
,98270,"Lake Cassidy, Marysville",Snohomish County,"37,060,500",14,37
,98271,"Marysville, North Marysville, Sisco Heights",Snohomish County,"120,688,000",47,121
,98272,"Chain Lake, Everett, High Bridge, Monroe, Monroe North, Sultan, Woods Creek",Snohomish County,"283,033,000",109,283
,98273,"Bay View, Clear Lake, Conway, Mount Vernon",Skagit County,"217,802,000",84,218
,98274,"Big Lake, Lake Cavanaugh, Lake McMurray, Mount Vernon",Skagit County,"365,438,000",141,365
,98275,"Everett, Mukilteo",Snohomish County,"19,768,800",8,20
,98276,Nooksack,Whatcom County,"542,593",0,1
,98277,"Oak Harbor, Whidbey Island Station",Island County,"146,130,000",56,146
,98278,Whidbey Island Station,Island County,"13,633,700",5,14
,98281,Point Roberts,Whatcom County,"12,652,200",5,13
,98283,"Marblemount, Rockport","Skagit County, Whatcom County","1,419,060,000",548,"1,419"
,98284,"Alger, Clear Lake, Hamilton, Lyman, Sedro-Woolley","Skagit County, Whatcom County","731,874,000",283,732
,98288,Skykomish,King County,"547,876,000",212,548
,98290,"Bunk Foss, Chain Lake, Everett, Fobes Hill, Lake Bosworth, Lake Roesiger, Machias, Monroe, Monroe North, Snohomish, Three Lakes, Woods Creek",Snohomish County,"306,699,000",118,307
,98292,"Lake Ketchum, Marysville, Northwest Stanwood, Silvana, Stanwood, Sunday Lake, Warm Beach","Skagit County, Snohomish County","192,963,000",75,193
,98294,"Everett, Gold Bar, North Sultan, Startup, Sultan",Snohomish County,"155,411,000",60,155
,98295,"Peaceful Valley, Sumas",Whatcom County,"74,785,300",29,75
,98296,"Cathcart, Clearview, Eastmont, High Bridge, Maltby, Mill Creek, Mill Creek East, Silver Firs",Snohomish County,"88,264,900",34,88
,98303,Anderson Island,Pierce County,"20,071,300",8,20
,98304,Ashford,"Lewis County, Pierce County","891,111,000",344,891
,98310,"Bremerton, Enetai, Tracyton",Kitsap County,"15,439,800",6,15
,98311,"Silverdale, Tracyton",Kitsap County,"28,116,600",11,28
,98312,"Bremerton, Chico, Erlands Point-Kitsap Lake, Gorst, Navy Yard City, Port Orchard, Rocky Point, Silverdale",Kitsap County,"159,168,000",61,159
,98314,Bremerton,Kitsap County,"1,495,430",1,1
,98315,Bangor Base,Kitsap County,"28,766,200",11,29
,98320,Brinnon,Jefferson County,"252,865,000",98,253
,98321,"Bonney Lake, Buckley, Enumclaw, Prairie Heights, Prairie Ridge, South Prairie, Wilkeson",Pierce County,"93,325,300",36,93
,98323,"Carbonado, Wilkeson",Pierce County,"638,113,000",246,638
,98325,Port Hadlock-Irondale,Jefferson County,"77,907,800",30,78
,98326,Clallam Bay,Clallam County,"754,265,000",291,754
,98327,DuPont,Pierce County,"17,788,600",7,18
,98328,"Alder, Clear Lake, Eatonville, La Grande",Pierce County,"548,826,000",212,549
,98329,"Vaughn, Wauna, Stansberry Lake, Key Center, Burley","Pierce County, Kitsap County","66,967,800",26,67
,98330,Elbe,Pierce County,"16,907,600",7,17
,98331,"Forks, Queets","Clallam County, Jefferson County","2,022,180,000",781,"2,022"
